Isi Tweet
"Segera berikan pilihan suaramu melalui fitur Poll dan tuliskan dukunganmu di kolom komentar sekarang!

#LigaCapres #Presiden2029 #IndonesiaEmas #RamadanCeria #KarsaPolitik"
"Ini kalau seandainya terjadi di Jakarta, Sosial media akan penuh dengan #indonesiagelap #indonesiabubar dan berbagai macam ancaman ke pemerintah, instead di postingan ini yg gw dpt dari IG malah jsinya komentar positif semua, ajaib bener sih Jepang bisa brainwash banyak org"
Antusiasme pengunjung imlek Festival 2577 di Lapangan Banteng manfaatkan CKG #CekKesehatanGratis
"Dukung program Cek Kesehatan Gratis untuk masyarakat Indonesia

#ProgramPresiden
#cekkesehatangratis
#ProgramKesehatan"
"Usai #KaburAjaDulu, kini aksi unjuk rasa mahasiswa #IndonesiaGelap muncul di sejumlah daerah. Apakah ini menunjukkan kebijakan pemerintah dinilai semakin tidak pro-rakyat?

Simak diskusinya dalam #ROSIKompasTV malam ini pkl 20.30 LIVE di KompasTV 

: 
kompas.tv/live"
"Tak hanya di Lampung, sejumlah ruas jalan di berbagai daerah juga rusak dan butuh perbaikan. #focus #jalanrusak #news #text 
kumparan.com/focusbykumpara
…"
"Penampakan jalan rusak di Jalan Raya Jatiwaringin Jakarta Timur. Cukup besar sangat berbahaya bagi pengendara motor

#pasangmata #lalulintas #jalanrusak #fasilitasumum
pasangmata.detik.com/contribution/0
…"
"COGNITIVE WARFARE....perang sunyi yang menguasai pikiran dan menghancurkan bangsa...
#cognitivewarfare 
#indonesiakita 
#perangsunyi 
#bijakbermedsos 
#waspada"
"""Utamakan keselamatan di jalan dan persiapkan segala aspek dengan matang,"" kata Prabowo.

Baca di: 
nasional.kompas.com/read/2026/03/1
… 

~WR #Prabowo #Mudik #Lebaran"
"Prabowo disebut tak ingin gegabah memutuskan Indonesia keluar dari BoP. Ia ingin BoP lebih dulu dimanfaatkan sebagai ikhtiar merundingkan damai. Nusron menyebut BoP kini menjadi forum strategis untuk upaya perdamaian.

Baca selengkapnya: 
nasional.kompas.com/read/2026/03/0
…

~RK #prabowo"
Disaat sang presiden dihujat warga X se Indonesia.. Sang wapres adem ayam aura farming di gang2 sempit menebar janji bayarin SPP... Kasian bener si bapak tua kegocek dia #gibran
"Program Makan Bergizi Gratis terbukti berikan dampak perbaikan gizi dan ekonomi lokal, jadi tidak heran jika masyarakat puas dengan program ini. #MBG #Kalbar #IndonesiaEmas"
"Pangdam XII/Tpr Pimpin Press Release Penggagalan Penyelundupan Narkotika di Perbatasan.
@Puspen_TNI
 @tni_ad
 #tniprima #tnirakyatkuat #indonesiaemas2045 #kodamtanjungpura #yonarhanud1pbc"
"Orang2 pada panik ngomongin perang Iran. Tapi bagi aku mie ayam udah yg paling nyaman. Huss jangan ganggu
#IndonesiaKita
#TemukanKembaliFitrimu"
"Viral Aksi Kades Mandi Lumpur di Kubangan Jalan Rusak, Begini Respon DPU Sragen
kabarterdepan.com/viral-aksi-kad
…

#Viral #KadesMandiLumpur #JalanRusak #Sragen #KabarTerdepan"
#IndonesiaKita #prajasquad #prabowo #pigh12 #hoax
"Masih ingat kasus Bima, TikTokers yang protes soal rusaknya jalan di Lampung? Setelah viral, tak seberapa lama Presiden Jokowi datang meninjau jalanan di Lampung. Rp800 milyar langsung disiapkan pemerintah pusat untuk perbaikan jalan.

#Lampung #JalanRusak #YaAkuBakalDibaca"
"Njirr iseng-iseng nyari game malah ketemu ini 
#19jutalapanganpekerjaan"
"Gibran Peluk Rismon di Istana Usai Minta Maaf

#Gibran #Peluk #Rismon #Istana #Usai #Minta #Maaf #Berita #Info"
"Warga bantu warga , rezim bantu oligarki merampok SDA mengakibatkan bencana rutin yg semakin parah 
#IndonesiaSemakinCemas
#IndonesiaTenggelam
#Indonesiagelap"
"Noted 
@prabowo
 @Kemlu_RI
 @KemenkeuRI
 @Kemendag
@KSPgoid
 @Kemhan_RI
 @PolkamRI
 @bkpm
 @KementerianESDM
 #prabowogibran #tnipolri #indonesiaemas #timnasindonesia #uangkita #bersatunegriku #mbginvestasibangsa
#PapuaNKRI #rakyatbanturakyat
#sekolahrakyat #emas"
"Kehadiran politisi yang akrab disapa Pang Ucok beserta rombongan menjadi momen yang sangat dinantikan, terutama karena warga Dusun Lupon telah belasan tahun kesulitan menghadapi akses transportasi yang buruk.
#PangUcok
#JalanRusak
#BeritaAcehTimur"
"Hai SohIB!

Program #CekKesehatanGratis telah berjalan selama 1 tahun & menunjukkan dampak nyata bagi peningkatan akses layanan #Kesehatan di Indonesia. 

Sepanjang pelaksanaannya, #CKG telah menjangkau 70,72 juta jiwa di 38 provinsi.

#IndonesiaBaik #Infografik #1TahunCKG"
"Presiden Prabowo menegaskan, Indonesia tetap bebas aktif di tengah konflik global. Kita solid dan optimis! #IndonesiaMaju #Prabowo"
"Program Makan Bergizi Gratis hadir bukan hanya untuk anak sekolah, tapi juga untuk seluruh anak Indonesia agar kebutuhan gizi mereka tetap terpenuhi.
#IndonesiaKita #MBG #GiziAnakIndonesia #GenerasiSehat"
"Prabowo mencontohkan langkah penghematan Pakistan di tengah lonjakan harga energi global. “Mereka bahkan mengurangi gaji untuk anggota kabinet, untuk anggota DPR,” kata Prabowo.

Baca selengkapnya: 
money.kompas.com/read/2026/03/1
…

~RK #pakistan #prabowo #penghematan"
"Demi prikemanusiaan, Kenapa presiden Indonesia tidak mengkritik pedas? #prabowo #indonesia"
"Kita bisa liat banyak siswa yang sekarang ke bantu gizinya sama adanya program MBG di sekolah, ini jadi hal yang ga boleh diliat sebelah mata aja. Coba liat siswa yang kurang mampu, adanya MBG bikin ngebantu mereka yang kekurangan soal makanan #IndonesiaKita #MBG #NKRI"
"Publik Berhak Tahu Kebenaran, Usut Sampai Tuntas #prajasquad #jagaindonesia #indonesiakita #EleccionesCastillayLeón"
Harapan Untuk Generasi Sehat Kian Dekat Berkat Komitmen Presiden Prabowo Di Sektor Kesehatan #CekKesehatanGratis
Menuju Indonesia Emas 2045 dimulai dari piring makan anak-anak kita hari ini. Mari kawal bersama agar setiap porsi MBG benar-benar memberikan nutrisi terbaik bagi siswa di seluruh penjuru negeri.  #IndonesiaEmas #GiziBangsa
"Jaga Kondusifitas Wilayah, Babinsa Gunung Elai Ikuti Apel Gabungan dan Patroli Malam
korem091tniad.com/kodim0908/jaga
…

#tniprima
#tnirakyatkuat
#indonesiaemas2045"
"#LoveIndonesia 
#indonesiaEmas"
Sehrsnya dh bisa di impeach #indonesiagelap
#IndonesiaEmas #PertanianMaju #PresidenPrabowo #makanbergizigratis #astacita #PertanianMaju #mbg #mbgpapua #OPMTeroris #PrabowoBersihBersih #TolakOPMPapua  #boycottforfreewestpapua #OPMPapua #PapuaDamai #PapuaIndonesia
"""Ditertibkan dengan dialog, bukan ditangkap."" Prinsip ini menunjukkan komitmen Presiden Prabowo dalam menjaga kebebasan berpendapat sekaligus stabilitas nasional. #IndonesiaMaju"
"Salah satu lubang bekas galian proyek di Jalan Raya Jatimakmur Bekasi sangat membahayakan pengendara motor. Banyak bekas galian proyek yang ditutup asal alias tidak rapi

#pasangmata #lalulintas #jalanrusak
pasangmata.detik.com/contribution/d
…"
"Presiden Prabowo Subianto menelepon pemimpin negara-negara Teluk usai konflik AS-Israel dengan Iran memanas. Sebagian besar sudah dihubungi, kecuali Mohammed bin Salman yang masih menunggu waktu.

Baca selengkapnya: 
nasional.kompas.com/read/2026/03/0
…

~RK #prabowo #iran #israel"
"Melindungi Kesehatan Mental Anak sebagai Prioritas Nasional

#CekKesehatanGratis"
Semua anak² Indonesia adalah anak² kita (tanpa membeda bedakan) yg wajib negara lindungi dan jamin kesejahteraan masa depannya #prabowogibran #indonesiaemas #mbgitubaik #sekolahrakyat #TimnasFutsal #PapuaNKRI #uangkita #satuindonesia #Garuda #emasantam #kerjanyatapresiden
"MBG itu kayak boost buat anak-anak sekolah. Perut kenyang, otak jalan, belajar jadi lebih fokus. Dari hal simpel ini, Indonesia lagi bangun generasi yang siap gaspol di masa depan.
#MakanBergiziGratis
#GenerasiSehat
#IndonesiaMaju"
"Bullying baik di dunia nyata maupun di dunia digital, adalah hal yang serius termasuk di mata hukum Indonesia. Ada beberapa hukum yang bisa menjerat pelaku. Simak selengkapnya pada infografis berikut ini:

#stopbullying #antiperundungan #hukumindonesia #lawanperundungan"
Pemerintah hadir melalui Program Makan Bergizi Gratis untuk memastikan tidak ada lagi siswa yang kekurangan gizi saat menimba ilmu di sekolah #MBG #IndonesiaEmas
"“Terima kasih Gubernur Aceh yang sudah menerima aspirasi kami. Karena ruas jalan Ulee Kareng-Pasar Lam Ateuk yang sebelumnya rusak parah. Ini merupakan harapan besar masyarakat.”
#KruengBaronaJaya #JalanRusak #GubernurAceh
#BandaAceh #Aceh #Serambinews"
"Hati-hati! ada jalan rusak berlubang di pinggir Kalimalang Bekasi. Kerusakan ini sudah ada sekitar 2 bulan dan kondisinya makin meluas. Jalan rusak ini sangat membahayakan pengendara

#pasangmata #lalulintas #jalanrusak #kalimalang #bekasi
pasangmata.detik.com/contribution/3
…"
"(5) Pertanyaannya sekarang:
apakah ekonomi Indonesia tumbuh cukup cepat untuk menyerap jutaan generasi muda setiap tahun?
Setiap tahun jutaan orang baru masuk pasar kerja.
Apakah kita benar-benar siap?
#bonusdemografi #indonesiamaju"
"Pernyataan Purbaya Yudhi Sadewa, Ketua Dewan Komisioner Lembaga Penjamin Simpanan (LPS) yang menilai pengkritik kondisi rupiah sebagai “orang yang tidak punya uang” memicu sorotan publik. #pdiperjuangan #LPS #19jutalapanganpekerjaan"
Jangan mudah termakan narasi negatif! Revisi KUHAP bertujuan modernisasi hukum acara pidana yang sudah usang 44 tahun. Tujuannya memperkuat hak warga negara & memberi kepastian hukum. #RevisiKUHAP #HukumIndonesia #HakWargaNegara
Program nasional MBG hadir sebagai jaminan bahwa setiap anak mendapatkan asupan nutrisi terbaik guna membentuk karakter kuat dan otak cerdas yang siap memimpin di masa mendatang #MBG #IndonesiaEmas
"“Beberapa minggu lalu saya rapat di Istana dengan Pak Presiden. Beliau selalu bilang Bea Cukai bubarkan saja, diganti SGS, tapi ternyata ada perbaikan,” cerita Purbaya.

Baca di: 
money.kompas.com/read/2026/03/1
….

~WR #Purbaya #Prabowo #BeaCukai"
"From Sarajevo to Gaza: Is Indonesia’s foreign policy truly changing?  
Dr. Tufan Kutay Boran breaks down how Presidents Prabowo and Suharto use Islamic solidarity as a tool for ""moral signaling"" and domestic legitimacy. 
#IndonesianPolitics #Prabowo"
"Menteri Keuangan (Menkeu) Purbaya Yudhi Sadewa menyatakan tren pertumbuhan ekonomi Indonesia menunjukkan gradien yang meningkat. Hal ini menandakan fase ekspansi yang lebih cepat. Hal ini… 
instagram.com/reel/DUu-2pIAX
… #menkeu #purbaya #indonesiaemas #bisniscom #topnewsbisniscom"
"Presiden Prabowo Subianto menyampaikan dukacita mendalam atas wafatnya Pemimpin Tertinggi Iran Ayatollah Ali Khamenei yang wafat dalam serangan gabungan Amerika Serikat dan Israel.

Baca di 
Kompas.id  
kompas.id/artikel/prabow
…

#Khamenei #Prabowo #AdadiKompas"
