label_name,n_examples,n_categories,n_coincident_examples,n_single_annotation,n_annotators,avg_raters_per_example,percent_agreement,kripp_alpha,gwet_ac2
KUALITAS_NEGATIVE,1011,6,491,31,2,1.9367816091954022,0.9959266802443992,3.648585236003438e-12,0.9959110512897387
KUALITAS_NEUTRAL,1011,6,491,31,2,1.9367816091954022,0.9714867617107943,0.12075993091560398,0.9705994606761286
KUALITAS_POSITIVE,1011,6,491,31,2,1.9367816091954022,0.945010183299389,0.045093037215007556,0.9418705838456852
MANFAAT_NEGATIVE,1011,6,491,31,2,1.9367816091954022,0.9979633401221996,0.0,0.9979516053264486
MANFAAT_NEUTRAL,1011,6,491,31,2,1.9367816091954022,0.9063136456211812,0.07015766478826321,0.8961238447859223
MANFAAT_POSITIVE,1011,6,491,31,2,1.9367816091954022,0.9042769857433809,0.328291868027013,0.8895476554150569
