label,p,r,f1,support
PER-PM,0.6242299794661191,0.44574780058651026,0.5201026518391788,682.0
ORGANIZATION,0.6357142857142857,0.13363363363363365,0.2208436724565757,666.0
MEDICAL,0.6243194192377496,0.576214405360134,0.5993031358885017,597.0
LOCATION,0.4746192893401015,0.36738703339882123,0.41417497231450723,509.0
PER-PTG,0.1,0.23529411764705882,0.14035087719298245,85.0
